,id,gene_short_name,num_cells_expressed,use_for_ordering
ENSMUSG00000032079,ENSMUSG00000032079,Apoa5,5,FALSE
ENSMUSG00000032078,ENSMUSG00000032078,Zpr1,19253,FALSE
ENSMUSG00000032077,ENSMUSG00000032077,Bud13,7178,FALSE
ENSMUSG00000056617,ENSMUSG00000056617,4931429L15Rik,5,FALSE
ENSMUSG00000097463,ENSMUSG00000097463,4930448E22Rik,106,FALSE
ENSMUSG00000099696,ENSMUSG00000099696,2900052N01Rik,34,FALSE
ENSMUSG00000094893,ENSMUSG00000094893,Gm4791,3,FALSE
ENSMUSG00000032076,ENSMUSG00000032076,Cadm1,5909,FALSE
ENSMUSG00000032028,ENSMUSG00000032028,Nxpe2,47,FALSE
ENSMUSG00000044229,ENSMUSG00000044229,Nxpe4,1185,FALSE
ENSMUSG00000063543,ENSMUSG00000063543,Gm5616,758,FALSE
ENSMUSG00000032026,ENSMUSG00000032026,Rexo2,26822,TRUE
ENSMUSG00000042396,ENSMUSG00000042396,Rbm7,25737,FALSE
ENSMUSG00000042293,ENSMUSG00000042293,Gm5617,23028,FALSE
ENSMUSG00000032271,ENSMUSG00000032271,Nnmt,2856,FALSE
ENSMUSG00000066687,ENSMUSG00000066687,Zbtb16,987,FALSE
ENSMUSG00000032269,ENSMUSG00000032269,Htr3a,25,FALSE
ENSMUSG00000008590,ENSMUSG00000008590,Htr3b,7,FALSE
ENSMUSG00000032267,ENSMUSG00000032267,Usp28,4357,FALSE
ENSMUSG00000105991,ENSMUSG00000105991,1700042D02Rik,4,FALSE
ENSMUSG00000032264,ENSMUSG00000032264,Zw10,6404,FALSE
ENSMUSG00000032268,ENSMUSG00000032268,Tmprss5,568,FALSE
ENSMUSG00000054156,ENSMUSG00000054156,Gm4894,0,FALSE
ENSMUSG00000032259,ENSMUSG00000032259,Drd2,9,FALSE
ENSMUSG00000032257,ENSMUSG00000032257,Ankk1,177,FALSE
ENSMUSG00000040219,ENSMUSG00000040219,Ttc12,5171,FALSE
ENSMUSG00000039542,ENSMUSG00000039542,Ncam1,7701,FALSE
ENSMUSG00000079564,ENSMUSG00000079564,Gm11149,12,FALSE
ENSMUSG00000058443,ENSMUSG00000058443,Rpl10-ps3,33284,FALSE
ENSMUSG00000101304,ENSMUSG00000101304,Plet1os,316,FALSE
ENSMUSG00000032068,ENSMUSG00000032068,Plet1,9025,FALSE
ENSMUSG00000032067,ENSMUSG00000032067,Pts,16197,FALSE
ENSMUSG00000032066,ENSMUSG00000032066,Bco2,778,FALSE
ENSMUSG00000032065,ENSMUSG00000032065,Tex12,3261,FALSE
ENSMUSG00000039217,ENSMUSG00000039217,Il18,7691,FALSE
ENSMUSG00000000171,ENSMUSG00000000171,Sdhd,31060,FALSE
ENSMUSG00000039016,ENSMUSG00000039016,Timm8b,35577,FALSE
ENSMUSG00000059820,ENSMUSG00000059820,AU019823,12941,FALSE
ENSMUSG00000000167,ENSMUSG00000000167,Pih1d2,1973,FALSE
ENSMUSG00000000168,ENSMUSG00000000168,Dlat,21650,FALSE
ENSMUSG00000032064,ENSMUSG00000032064,Dixdc1,4433,FALSE
ENSMUSG00000032062,ENSMUSG00000032062,2310030G06Rik,10932,FALSE
ENSMUSG00000038086,ENSMUSG00000038086,Hspb2,4782,FALSE
ENSMUSG00000032060,ENSMUSG00000032060,Cryab,24249,TRUE
ENSMUSG00000037971,ENSMUSG00000037971,1110032A03Rik,11952,FALSE
ENSMUSG00000037845,ENSMUSG00000037845,Fdxacb1,5116,FALSE
ENSMUSG00000032059,ENSMUSG00000032059,Alg9,8010,FALSE
ENSMUSG00000032058,ENSMUSG00000032058,Ppp2r1b,10515,FALSE
ENSMUSG00000037112,ENSMUSG00000037112,Sik2,2902,FALSE
ENSMUSG00000060594,ENSMUSG00000060594,Layn,2502,FALSE
ENSMUSG00000032057,ENSMUSG00000032057,4833427G06Rik,394,FALSE
